repo_name,user_name,repo_url,no_stars
scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,55300
neovim,neovim,https://github.com/neovim/neovim,47400
git,git,https://github.com/git/git,39600
awesome-cpp,fffaraz,https://github.com/fffaraz/awesome-cpp,33700
obs-studio,obsproject,https://github.com/obsproject/obs-studio,31400
open-source-mac-os-apps,serhii-londar,https://github.com/serhii-londar/open-source-mac-os-apps,28300
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,26400
vim,vim,https://github.com/vim/vim,24800
the_silver_searcher,ggreer,https://github.com/ggreer/the_silver_searcher,22600
curl,curl,https://github.com/curl/curl,22100
interview,huihut,https://github.com/huihut/interview,20700
ruby,ruby,https://github.com/ruby/ruby,18500
flatbuffers,google,https://github.com/google/flatbuffers,16900
mpv,mpv-player,https://github.com/mpv-player/mpv,16100
rufus,pbatard,https://github.com/pbatard/rufus,16000
graal,oracle,https://github.com/oracle/graal,16000
radare2,radareorg,https://github.com/radareorg/radare2,15000
shadowsocks-libev,shadowsocks,https://github.com/shadowsocks/shadowsocks-libev,14600
vcpkg,microsoft,https://github.com/microsoft/vcpkg,13800
goaccess,allinurl,https://github.com/allinurl/goaccess,13800
nuklear,vurtun,https://github.com/vurtun/nuklear,13300
infer,facebook,https://github.com/facebook/infer,12600
nnn,jarun,https://github.com/jarun/nnn,12300
kitty,kovidgoyal,https://github.com/kovidgoyal/kitty,12300
Sourcetrail,CoatiSoftware,https://github.com/CoatiSoftware/Sourcetrail,12000
C,TheAlgorithms,https://github.com/TheAlgorithms/C,10800
raspberry-pi-os,s-matyukevich,https://github.com/s-matyukevich/raspberry-pi-os,10800
qmk_firmware,qmk,https://github.com/qmk/qmk_firmware,10600
hashcat,hashcat,https://github.com/hashcat/hashcat,10600
tig,jonas,https://github.com/jonas/tig,10300
